category	model	name	source_url	error
lightshow-audio		All I want for Christmas is you / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/All I want for Christmas is you/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-audio		Cyberpunk / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/Cyberpunk/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-audio		James Bond (007) 主题曲 / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/James Bond (007) 主题曲/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-audio		Tokyo Drift (Fast and Furious) / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/Tokyo Drift (Fast and Furious)/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-audio		复仇者联盟 / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/复仇者联盟/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-audio		权力的游戏 / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/权力的游戏/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-audio		钢铁侠2 / lightshow.mp3	https://static0.xiaote.com/video/灯光秀/钢铁侠2/LightShow/lightshow.mp3	下载或类型检查失败
lightshow-sequence		钢铁侠2 / lightshow.fseq	https://static0.xiaote.com/video/灯光秀/钢铁侠2/LightShow/lightshow.fseq	下载或类型检查失败
skin-index	modely-2025-premium	Model Y (2025+) 高级版	https://giga-api.xiaote.net/api/v1/tesla-wrap/vehicles/modely-2025-premium/	Vehicle not found or no images
